"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.188508201E1,6.505188867E1,2.546774148E1,1.339228323E1,1.630528179E0,3.087025410E2,2.314445136E0,3.000000000E0
7.288507557E1,6.505189559E1,2.546771379E1,1.398281924E1,1.582117084E0,3.061358637E2,2.298722907E0,3.000000000E0
7.388506901E1,6.505190457E1,2.546768582E1,1.471269738E1,1.571528930E0,3.058137932E2,2.317883234E0,3.000000000E0
7.488506198E1,6.505190928E1,2.546765381E1,1.475778231E1,1.603101898E0,3.004162160E2,2.301989066E0,3.000000000E0
7.588505566E1,6.505191637E1,2.546762698E1,1.440954595E1,1.583370919E0,3.010744476E2,2.286889596E0,3.000000000E0
7.688504899E1,6.505192144E1,2.546759921E1,1.431882836E1,1.565678193E0,2.997605656E2,2.280710076E0,3.000000000E0
7.788504112E1,6.505192423E1,2.546756136E1,1.395616728E1,1.694714279E0,2.971175657E2,2.278172678E0,3.000000000E0
7.888503480E1,6.505193039E1,2.546753402E1,1.458670918E1,1.595104700E0,2.989863349E2,2.268424303E0,3.000000000E0
7.988502812E1,6.505193636E1,2.546750670E1,1.499496847E1,1.593399036E0,3.004444030E2,2.255003093E0,3.000000000E0
8.088502157E1,6.505193530E1,2.546747082E1,1.581848826E1,1.566862582E0,2.875073966E2,2.267898617E0,3.000000000E0
8.188501585E1,6.505194059E1,2.546744180E1,1.635387390E1,1.575292504E0,2.896834337E2,2.308301166E0,3.000000000E0
8.288500881E1,6.505194997E1,2.546742123E1,1.653482020E1,1.581840309E0,2.968640614E2,2.328888217E0,3.000000000E0
8.388500249E1,6.505195807E1,2.546739722E1,1.618929863E1,1.582462985E0,3.006748638E2,2.386999480E0,3.000000000E0
8.488499546E1,6.505196601E1,2.546737293E1,1.680573915E1,1.570647879E0,3.009018230E2,2.367649506E0,3.000000000E0
8.588499069E1,6.505197201E1,2.546734514E1,1.628259869E1,1.595739443E0,2.997664203E2,2.414414770E0,3.037969039E0
8.688498366E1,6.505197780E1,2.546732243E1,1.487772133E1,1.526396233E0,2.990715625E2,2.403132719E0,3.020689409E0
8.788497615E1,6.505198275E1,2.546730912E1,1.286714081E1,1.261433131E0,3.012302861E2,2.386502756E0,3.000000000E0
8.888496971E1,6.505199038E1,2.546727640E1,1.346492119E1,1.537051569E0,2.999405101E2,2.368759334E0,3.000000000E0
8.988496411E1,6.505199609E1,2.546724635E1,1.377543969E1,1.591209121E0,2.978924137E2,2.374045829E0,3.018931979E0
9.088495684E1,6.505200129E1,2.546721494E1,1.442964514E1,1.583103893E0,2.961036433E2,2.355343556E0,3.000000000E0
9.188495123E1,6.505200688E1,2.546718196E1,1.474874707E1,1.584011079E0,2.975484083E2,2.337576385E0,3.000000000E0
9.288494384E1,6.505201523E1,2.546715430E1,1.492076869E1,1.583167613E0,3.020471031E2,2.320697555E0,3.100085388E0
9.388493812E1,6.505202371E1,2.546713419E1,1.434871342E1,1.571552285E0,3.061841167E2,2.304662656E0,3.174476848E0
9.488493145E1,6.505203388E1,2.546711062E1,1.459855863E1,1.583070465E0,3.113444335E2,2.303551364E0,3.104884277E0
9.588492501E1,6.505204661E1,2.546709341E1,1.446036207E1,1.594261743E0,3.173891739E2,2.288373794E0,3.067572641E0
9.688491893E1,6.505205496E1,2.546707193E1,1.352798998E1,1.528795994E0,3.196967435E2,2.273955081E0,3.087253410E0
9.788491189E1,6.505206569E1,2.546705184E1,1.362619712E1,1.554794495E0,3.234668194E2,2.261552929E0,3.153790658E0
9.888490558E1,6.505207739E1,2.546703352E1,1.418848423E1,1.576703943E0,3.259701102E2,2.248475288E0,3.101826515E0
9.988489962E1,6.505208906E1,2.546702188E1,1.423298307E1,1.584428311E0,3.310430606E2,2.236051525E0,3.247238677E0
1.008848927E2,6.505209926E1,2.546700339E1,1.492394692E1,1.486600691E0,3.292656468E2,2.247678365E0,3.234837825E0
1.018848870E2,6.505211143E1,2.546698571E1,1.456942989E1,1.598069631E0,3.278473471E2,2.278093949E0,3.190217337E0
1.028848797E2,6.505212164E1,2.546696648E1,1.468650017E1,1.596032988E0,3.256024657E2,2.268797794E0,3.171517779E0
1.038848737E2,6.505213240E1,2.546694870E1,1.438407918E1,1.599353330E0,3.252482283E2,2.255357904E0,3.184378439E0
1.048848680E2,6.505214431E1,2.546693395E1,1.421048999E1,1.552787013E0,3.289056533E2,2.267281926E0,3.254715411E0
1.058848628E2,6.505215545E1,2.546691945E1,1.299392918E1,1.514823671E0,3.298852938E2,2.259695077E0,3.241611470E0
1.068848543E2,6.505216532E1,2.546690547E1,1.219065595E1,1.355685021E0,3.305451054E2,2.344015757E0,3.204559889E0
1.078848482E2,6.505217891E1,2.546688578E1,1.328142664E1,1.532099447E0,3.306966966E2,2.346603920E0,3.078301993E0
1.088848426E2,6.505219122E1,2.546686771E1,1.381402773E1,1.579735640E0,3.311462025E2,2.329273722E0,3.249303744E0
1.098848367E2,6.505220353E1,2.546685061E1,1.393681229E1,1.586500670E0,3.325676701E2,2.312810048E0,3.267369699E0
1.108848292E2,6.505221505E1,2.546683185E1,1.388466052E1,1.592071723E0,3.313926515E2,2.297169545E0,3.168251454E0
1.118848228E2,6.505222635E1,2.546681454E1,1.390085559E1,1.584176791E0,3.317598431E2,2.282311075E0,3.147205909E0
1.128848168E2,6.505223778E1,2.546679813E1,1.460537761E1,1.579176382E0,3.333131623E2,2.268195520E0,3.000000000E0
1.138848102E2,6.505225009E1,2.546678287E1,1.447941728E1,1.584345616E0,3.337936895E2,2.263023854E0,3.000000000E0
1.148848046E2,6.505226190E1,2.546676445E1,1.511341258E1,1.565478968E0,3.320225804E2,2.254668700E0,3.010870348E0
1.158847985E2,6.505227373E1,2.546674814E1,1.494939670E1,1.591934039E0,3.330857762E2,2.288735242E0,3.000000000E0
1.168847919E2,6.505228615E1,2.546673830E1,1.394511247E1,1.523089912E0,3.385265019E2,2.290284373E0,3.000000000E0
1.178847854E2,6.505229876E1,2.546672145E1,1.430721921E1,1.540738258E0,3.365589441E2,2.275770138E0,3.000000000E0
1.188847793E2,6.505231141E1,2.546669985E1,1.492712172E1,1.570964646E0,3.317958408E2,2.263883228E0,3.000000000E0
1.198847724E2,6.505232260E1,2.546667627E1,1.603265521E1,1.562326961E0,3.272598193E2,2.267845663E0,3.002910329E0
1.208847667E2,6.505233510E1,2.546666310E1,1.638379714E1,1.567163612E0,3.310783140E2,2.267490160E0,3.000000000E0
1.218847601E2,6.505234843E1,2.546664696E1,1.623436816E1,1.586997175E0,3.325072187E2,2.280617765E0,3.000000000E0
1.228847547E2,6.505236060E1,2.546662968E1,1.588974323E1,1.590661388E0,3.322980344E2,2.297679457E0,3.000000000E0
1.238847485E2,6.505237172E1,2.546660674E1,1.647218047E1,1.589576786E0,3.310234647E2,2.334045950E0,3.000000000E0
1.248847419E2,6.505238318E1,2.546659135E1,1.697778334E1,1.591609176E0,3.298892928E2,2.395802556E0,3.000000000E0
1.258847350E2,6.505239499E1,2.546657523E1,1.697951149E1,1.593876296E0,3.302354183E2,2.385013314E0,3.000000000E0
1.268847289E2,6.505240762E1,2.546656558E1,1.621404110E1,1.520392006E0,3.366387212E2,2.375281458E0,3.000000000E0
1.278847232E2,6.505242032E1,2.546656003E1,1.587109045E1,1.513889458E0,3.405273191E2,2.393854126E0,3.026752768E0
1.288847165E2,6.505243377E1,2.546654424E1,1.642134487E1,1.593829056E0,3.401296499E2,2.395245940E0,3.000000000E0
1.298847100E2,6.505244468E1,2.546651967E1,1.733745728E1,1.571207153E0,3.314295845E2,2.421744091E0,3.000143586E0
1.308847041E2,6.505245465E1,2.546649755E1,1.743542927E1,1.570711924E0,3.251785097E2,2.406631001E0,3.000000000E0
1.318846978E2,6.505246433E1,2.546647325E1,1.756081721E1,1.585097415E0,3.187278459E2,2.395633458E0,3.002725222E0
1.328846917E2,6.505247523E1,2.546645465E1,1.781760065E1,1.582645472E0,3.212161677E2,2.416527371E0,3.000000000E0
1.338846848E2,6.505248982E1,2.546644565E1,1.750889824E1,1.595966312E0,3.318052840E2,2.430008602E0,3.000000000E0
1.348854731E2,6.505249982E1,2.546641973E1,1.772080865E1,1.595346393E0,3.253577686E2,2.422990467E0,3.050334935E0
1.358854762E2,6.505251255E1,2.546640496E1,1.831945778E1,1.586992401E0,3.308894053E2,2.401840915E0,3.025956461E0
1.368854697E2,6.505252429E1,2.546639336E1,1.726704877E1,1.600865524E0,3.363722907E2,2.421409238E0,3.000000000E0
1.378854715E2,6.505253734E1,2.546638430E1,1.628596773E1,1.560584925E0,3.383471294E2,2.400338756E0,3.037464612E0
1.388854749E2,6.505254539E1,2.546635510E1,1.586501839E1,1.539797789E0,3.248330372E2,2.471460815E0,3.173524919E0
1.398854642E2,6.505255535E1,2.546633025E1,1.568121216E1,1.560230333E0,3.201717537E2,2.502463771E0,3.269938420E0
1.408854365E2,6.505256921E1,2.546631439E1,1.625282261E1,1.623294188E0,3.264661310E2,2.545039338E0,3.360573317E0
1.418854083E2,6.505258212E1,2.546630211E1,1.718422783E1,1.572159204E0,3.270200479E2,2.586906720E0,3.514573719E0
1.428853706E2,6.505259316E1,2.546628596E1,1.617231478E1,1.602926097E0,3.277586098E2,2.590109615E0,3.448910436E0
1.438853714E2,6.505260423E1,2.546626276E1,1.672686108E1,1.592655441E0,3.265498279E2,2.584290584E0,3.506944602E0
1.448853740E2,6.505261541E1,2.546624377E1,1.619642555E1,1.607699434E0,3.241433090E2,2.583667769E0,3.485223637E0
1.458853650E2,6.505262557E1,2.546622116E1,1.603085307E1,1.602040323E0,3.251374943E2,2.583145346E0,3.497288627E0
1.468853658E2,6.505263576E1,2.546620206E1,1.543952781E1,1.599751363E0,3.277764584E2,2.594942233E0,3.326623905E0
1.478853656E2,6.505264810E1,2.546619864E1,1.375313788E1,1.497150971E0,3.342574772E2,2.630860859E0,3.396678702E0
1.488853551E2,6.505265574E1,2.546619195E1,1.257510394E1,1.211052464E0,3.352745841E2,2.685424691E0,3.205205737E0
1.498853457E2,6.505266701E1,2.546615765E1,1.303505949E1,1.533631370E0,3.230977020E2,2.654369523E0,3.085581791E0
1.508853350E2,6.505267509E1,2.546612794E1,1.411422882E1,1.573847903E0,3.148996781E2,2.621651061E0,3.214598390E0
1.518853254E2,6.505267926E1,2.546609670E1,1.468562298E1,1.564267088E0,3.048580112E2,2.590568537E0,3.127901530E0
1.528853155E2,6.505268405E1,2.546606210E1,1.471043216E1,1.620832269E0,2.974999762E2,2.565984701E0,3.091065784E0
1.538853061E2,6.505268661E1,2.546603258E1,1.472889623E1,1.581943258E0,2.948452414E2,2.537685471E0,3.005752643E0
1.548852974E2,6.505268812E1,2.546600180E1,1.450073201E1,1.603079615E0,2.899196431E2,2.510801204E0,3.000000000E0
1.558852886E2,6.505268981E1,2.546596888E1,1.474109638E1,1.570715516E0,2.862117777E2,2.546204074E0,3.000000000E0
1.568852792E2,6.505268660E1,2.546593645E1,1.531007330E1,1.564340277E0,2.787742216E2,2.518893887E0,3.000000000E0
1.578852702E2,6.505268768E1,2.546590516E1,1.523221351E1,1.608471926E0,2.760992575E2,2.513254178E0,3.000000000E0
1.588852625E2,6.505268644E1,2.546587719E1,1.331288796E1,1.436110217E0,2.743979808E2,2.487591462E0,3.000000000E0
1.598852531E2,6.505268429E1,2.546584277E1,1.359271781E1,1.593009460E0,2.717040027E2,2.475784952E0,3.000000000E0
1.608852445E2,6.505268241E1,2.546580832E1,1.411809472E1,1.599633254E0,2.690555903E2,2.451995711E0,3.000000000E0
1.618852361E2,6.505268140E1,2.546577594E1,1.498933963E1,1.601801792E0,2.667204491E2,2.429395930E0,3.000000000E0
1.628852280E2,6.505267943E1,2.546574254E1,1.491068255E1,1.606387084E0,2.656802202E2,2.413797108E0,3.000000000E0
1.638852195E2,6.505267916E1,2.546571087E1,1.499566427E1,1.610586679E0,2.655427694E2,2.425254767E0,3.000000000E0
1.648852117E2,6.505268063E1,2.546567911E1,1.486645879E1,1.607552450E0,2.691535754E2,2.434213347E0,3.000000000E0
1.658852037E2,6.505268365E1,2.546565041E1,1.543431478E1,1.600176596E0,2.720608620E2,2.413035861E0,3.000000000E0
1.668851951E2,6.505268200E1,2.546561785E1,1.498189737E1,1.608643527E0,2.692143479E2,2.462104604E0,3.000000000E0
1.678851875E2,6.505268106E1,2.546558536E1,1.432485431E1,1.578201743E0,2.693169909E2,2.451079027E0,3.000000000E0
1.688851799E2,6.505267916E1,2.546555932E1,1.345459458E1,1.464356049E0,2.672008780E2,2.433371244E0,3.000000000E0
1.698851715E2,6.505268067E1,2.546552337E1,1.429897932E1,1.604720085E0,2.708617711E2,2.411702652E0,3.000000000E0
1.708851641E2,6.505268076E1,2.546549433E1,1.479347989E1,1.594188189E0,2.715131730E2,2.393031879E0,3.000000000E0
1.718851566E2,6.505268137E1,2.546546123E1,1.487031709E1,1.603248653E0,2.726568572E2,2.378255328E0,3.000000000E0
1.728851488E2,6.505268488E1,2.546543870E1,1.421319452E1,1.623980193E0,2.710470334E2,2.375311557E0,3.000000000E0
1.738851413E2,6.505268258E1,2.546540257E1,1.424234365E1,1.610466983E0,2.689842858E2,2.356545981E0,3.000000000E0
1.748851335E2,6.505268506E1,2.546537279E1,1.450299635E1,1.597690195E0,2.728717290E2,2.338718677E0,3.000000000E0
1.758851265E2,6.505268624E1,2.546534279E1,1.425315349E1,1.601116787E0,2.737949168E2,2.329485206E0,3.000000000E0
1.768851187E2,6.505268570E1,2.546530944E1,1.426774543E1,1.609670728E0,2.715448362E2,2.313010948E0,3.000000000E0
1.778851113E2,6.505268613E1,2.546527845E1,1.375947249E1,1.589376095E0,2.713134472E2,2.317666599E0,3.000000000E0
1.788851042E2,6.505268775E1,2.546524726E1,1.327810049E1,1.556087536E0,2.738227784E2,2.301783250E0,3.000000000E0
1.798850957E2,6.505268659E1,2.546521563E1,1.387884746E1,1.611622657E0,2.691034740E2,2.286694112E0,3.000000000E0
1.808850893E2,6.505268582E1,2.546518688E1,1.390080230E1,1.604076506E0,2.679121431E2,2.272359399E0,3.000000000E0
1.818850814E2,6.505268396E1,2.546515681E1,1.409630860E1,1.587645379E0,2.662071252E2,2.260121610E0,3.000000000E0
1.828850740E2,6.505268172E1,2.546512764E1,1.389280461E1,1.606907849E0,2.641537571E2,2.267868113E0,3.000000000E0
1.838850671E2,6.505267950E1,2.546509949E1,1.377426030E1,1.569530660E0,2.619192718E2,2.254474715E0,3.000000000E0
1.848850595E2,6.505267604E1,2.546506817E1,1.403878008E1,1.588628830E0,2.587584913E2,2.254345604E0,3.000000000E0
1.858850522E2,6.505267240E1,2.546504032E1,1.289427373E1,1.519563509E0,2.549876981E2,2.244874432E0,3.000000000E0
1.868850451E2,6.505266959E1,2.546501228E1,1.247636567E1,1.534118435E0,2.535950145E2,2.232630673E0,3.000000000E0
1.878850380E2,6.505266399E1,2.546498221E1,1.275516658E1,1.603070238E0,2.513755500E2,2.232993105E0,3.000000000E0
1.888850309E2,6.505265791E1,2.546495209E1,1.293307652E1,1.609631465E0,2.492867244E2,2.246791101E0,3.000000000E0
1.898850238E2,6.505264943E1,2.546492853E1,1.317806941E1,1.588451615E0,2.437011397E2,2.234451562E0,3.000000000E0
1.908850167E2,6.505263980E1,2.546490414E1,1.326247870E1,1.598676514E0,2.382666776E2,2.222728995E0,3.000000000E0
1.918850101E2,6.505263377E1,2.546487673E1,1.321670875E1,1.589279857E0,2.403461550E2,2.218938475E0,3.000000000E0
1.928850031E2,6.505262788E1,2.546484888E1,1.303204622E1,1.575969062E0,2.421265018E2,2.231438523E0,3.000000000E0
1.938849956E2,6.505262206E1,2.546481725E1,1.377701231E1,1.586733208E0,2.440855749E2,2.219866596E0,3.000000000E0
1.948849878E2,6.505261669E1,2.546478854E1,1.343532455E1,1.607762729E0,2.450444666E2,2.208873272E0,3.000000000E0
1.958849821E2,6.505260697E1,2.546476657E1,1.257398505E1,1.538836898E0,2.377366228E2,2.198429590E0,3.000000000E0
1.968849741E2,6.505259912E1,2.546474352E1,1.234304689E1,1.501943810E0,2.351287835E2,2.216437205E0,3.000000000E0
1.978849670E2,6.505258913E1,2.546471729E1,1.254235722E1,1.595894968E0,2.329313855E2,2.245745661E0,3.000000000E0
1.988849604E2,6.505258223E1,2.546468801E1,1.309157386E1,1.600717483E0,2.360968291E2,2.238129949E0,3.000000000E0
1.998849537E2,6.505257745E1,2.546465803E1,1.285799858E1,1.594903947E0,2.414978672E2,2.283033118E0,3.000000000E0
2.008849466E2,6.505257184E1,2.546462834E1,1.279491426E1,1.603461940E0,2.440377599E2,2.298892990E0,3.000000000E0
2.018849397E2,6.505256515E1,2.546459996E1,1.260857665E1,1.589924388E0,2.450071985E2,2.316319237E0,3.000000000E0
2.028849324E2,6.505256005E1,2.546457265E1,1.260219526E1,1.572070145E0,2.459110227E2,2.317125978E0,3.000000000E0
2.038849261E2,6.505255660E1,2.546454205E1,1.293216519E1,1.563007692E0,2.483580323E2,2.301269690E0,3.000000000E0
2.048849185E2,6.505254945E1,2.546451200E1,1.282784554E1,1.591033678E0,2.450880932E2,2.289439944E0,3.000000000E0
2.058849109E2,6.505254392E1,2.546448242E1,1.251910742E1,1.579743769E0,2.457372491E2,2.274967925E0,3.000000000E0
2.068849041E2,6.505253616E1,2.546444954E1,1.353817244E1,1.580267110E0,2.463791281E2,2.271641713E0,3.000000000E0
2.078848979E2,6.505252940E1,2.546442261E1,1.362416661E1,1.589646389E0,2.439302977E2,2.258059627E0,3.000000000E0
2.088848901E2,6.505252589E1,2.546439172E1,1.351299677E1,1.595284139E0,2.487521572E2,2.245156631E0,3.000000000E0
2.098848834E2,6.505252327E1,2.546435449E1,1.390676745E1,1.594289633E0,2.537572197E2,2.232898811E0,3.000000000E0
2.108848768E2,6.505252075E1,2.546432237E1,1.322041848E1,1.591125919E0,2.571092566E2,2.226260333E0,3.000000000E0
2.118848695E2,6.505251884E1,2.546429130E1,1.335927896E1,1.585033919E0,2.588482944E2,2.214947295E0,3.000000000E0
2.128848627E2,6.505251734E1,2.546426231E1,1.365529975E1,1.578107022E0,2.614578305E2,2.204199947E0,3.000000000E0
2.138848559E2,6.505251489E1,2.546423447E1,1.283379219E1,1.526462846E0,2.606326598E2,2.193989937E0,3.000000000E0
2.148848481E2,6.505251800E1,2.546420987E1,1.240503781E1,1.550533370E0,2.655906143E2,2.184290417E0,3.000000000E0
2.158848417E2,6.505252011E1,2.546417704E1,1.271539928E1,1.593013924E0,2.706467378E2,2.175075896E0,3.000000000E0
2.168848346E2,6.505252223E1,2.546414717E1,1.286679872E1,1.586987261E0,2.728886875E2,2.166322102E0,3.000000000E0
