"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.853823000E0,-1.016880321E-1,2.229557946E-2,2.285670751E-1
2.863858000E0,-7.300433295E-2,2.005668059E-2,2.696501970E-2
2.873892000E0,-6.555854335E-2,3.039499640E-2,-1.556546348E-1
2.883926000E0,-3.167599345E-2,5.338186294E-2,-1.950695461E-1
2.893960000E0,5.916945526E-2,5.097924203E-2,-2.005881482E-1
2.903994000E0,1.089369349E-1,-6.455326080E-3,-2.236337793E-1
2.914028000E0,7.449975835E-2,-5.745517954E-2,-3.014415085E-1
2.924062000E0,1.981950291E-2,-6.750040367E-2,-3.285492003E-1
2.934096000E0,-8.781640828E-3,-6.423970386E-2,-3.693826461E-1
2.944130000E0,-3.570313532E-2,-7.211210266E-2,-4.309696144E-1
2.954164000E0,-5.674784917E-2,-1.057695530E-1,-5.190263432E-1
2.964198000E0,-8.142657101E-2,-6.881441921E-2,-4.439896095E-1
2.974232000E0,-1.094807077E-1,4.317876399E-3,-2.611904454E-1
2.984266000E0,-1.032705262E-1,4.578252912E-2,-9.523535550E-2
2.994300000E0,-2.790872376E-2,4.084514022E-2,1.052241540E-1
3.004334000E0,1.198573959E-1,1.383436605E-2,2.442352742E-1
3.014368000E0,2.000066061E-1,4.109189272E-2,2.221708059E-1
3.024402000E0,1.778390441E-1,7.650453106E-2,1.106468618E-1
3.034436000E0,3.925546501E-2,7.865279809E-2,-3.233276367E-2
3.044470000E0,-1.340967364E-1,8.780939162E-2,-1.652399755E-1
3.054504000E0,-2.336117422E-1,6.383580744E-2,-2.313322234E-1
3.064538000E0,-2.530248088E-1,-1.052703470E-2,-2.000987363E-1
3.074572000E0,-1.899446991E-1,-5.890470430E-2,-8.758310437E-2
3.084606000E0,-1.256992760E-1,-8.768703863E-2,1.430392671E-1
3.094640000E0,-6.235547516E-2,-4.597095564E-2,4.222139937E-1
3.104674000E0,-6.225726021E-2,4.760890692E-2,7.138438743E-1
3.114708000E0,-7.754564608E-2,1.341248944E-1,8.639454085E-1
3.124742000E0,-1.139733976E-1,2.068611874E-1,9.373916996E-1
3.134776000E0,-1.558243137E-1,2.708288495E-1,8.886247516E-1
3.144809542E0,-1.214536309E-1,2.671566519E-1,6.803504384E-1
3.154843542E0,-8.282328811E-2,2.639779593E-1,3.463949025E-1
3.164877542E0,2.427489851E-2,2.389659096E-1,5.826750398E-3
3.174911542E0,1.413229996E-1,2.320854910E-1,-2.375630164E-1
3.184945542E0,2.140073985E-1,1.907711117E-1,-3.517877895E-1
3.194979542E0,2.300099852E-1,1.281199501E-1,-3.996109968E-1
3.205013542E0,2.138967400E-1,5.180019110E-2,-4.144915760E-1
3.215047542E0,2.265899488E-1,-1.777962863E-2,-3.989017296E-1
3.225081542E0,2.721041273E-1,-9.312202558E-2,-3.649697524E-1
3.235115542E0,3.034895689E-1,-1.229075959E-1,-3.741750240E-1
3.245149542E0,3.691999206E-1,-1.621546921E-1,-5.112594867E-1
3.255183542E0,3.249045577E-1,-1.708401462E-1,-6.453244472E-1
3.265217542E0,2.288086382E-1,-1.310207538E-1,-7.217224127E-1
3.275251542E0,7.568285108E-2,-1.022322799E-1,-7.325578880E-1
3.285286542E0,-8.646171805E-2,-9.020616531E-2,-7.024634385E-1
3.295320542E0,-2.258648575E-1,-8.100557148E-2,-6.946638376E-1
3.305354542E0,-3.375446299E-1,-6.184059128E-2,-6.143634403E-1
3.315388542E0,-3.874366553E-1,-1.630013689E-2,-4.520464879E-1
3.325422542E0,-4.040522860E-1,2.497038826E-2,-1.513504994E-1
3.335456542E0,-4.297648321E-1,6.872685716E-2,2.235396391E-1
3.345490542E0,-3.990375312E-1,7.657308966E-2,5.543593132E-1
3.355524542E0,-3.424923611E-1,5.660382494E-2,8.229634434E-1
3.365558542E0,-2.871544949E-1,-2.155546814E-2,9.579738986E-1
3.375592542E0,-1.938149529E-1,-1.291918910E-1,9.403053671E-1
3.385626542E0,-7.689494234E-2,-2.289496292E-1,7.906493908E-1
3.395660542E0,1.474291373E-2,-2.840837565E-1,5.195093232E-1
3.405694542E0,3.933199044E-2,-2.769282264E-1,1.941795999E-1
3.415728542E0,3.416714486E-2,-2.529628283E-1,-3.350629985E-2
3.425762542E0,3.107323688E-2,-2.369635306E-1,-1.608563179E-1
3.435796542E0,4.906566761E-2,-2.143371449E-1,-2.148150086E-1
3.445830542E0,1.014725073E-1,-2.111010034E-1,-2.245225561E-1
3.455864542E0,2.064803144E-1,-1.845888506E-1,-1.936849254E-1
3.465898542E0,3.018496807E-1,-1.654462360E-1,-1.797340536E-1
3.475932542E0,3.251335858E-1,-1.140819548E-1,-1.828576362E-1
3.485966542E0,2.818074355E-1,-4.692946047E-2,-1.941801846E-1
3.496000542E0,2.415876549E-1,4.532907754E-3,-2.328963536E-1
3.506034542E0,2.489645388E-1,3.454461917E-2,-2.509776986E-1
3.516068542E0,2.754970107E-1,7.663770139E-2,-2.249540806E-1
3.526102542E0,3.065052704E-1,1.031013224E-1,-1.692043877E-1
3.536136542E0,3.655486268E-1,1.487575516E-1,-8.299596369E-2
3.546170542E0,3.819573392E-1,2.040820058E-1,7.327028990E-2
3.556204542E0,3.927726781E-1,2.635943820E-1,2.638596994E-1
3.566238542E0,3.869007580E-1,2.723779231E-1,3.638652134E-1
3.576272542E0,3.907211825E-1,2.341624220E-1,3.530893797E-1
3.586306542E0,3.702217946E-1,2.141851173E-1,2.965204918E-1
