"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.077411708E0,6.049788784E-2,1.901163697E-2,-3.546453238E-2
2.087446708E0,7.933816485E-2,4.259375006E-2,-2.383675933E-2
2.097481708E0,2.306017600E-2,5.011648536E-3,-6.781717658E-2
2.107515708E0,1.523488384E-2,-2.313246220E-2,-5.029657960E-2
2.117550708E0,2.716119379E-2,-5.765062273E-3,-1.645406485E-3
2.127585708E0,5.528520472E-2,-2.001852751E-2,-4.101763308E-2
2.137620708E0,1.037242335E-1,-2.063570112E-2,5.151396990E-3
2.147655708E0,7.625226025E-2,-5.194754094E-2,8.505769193E-2
2.157689708E0,7.809051521E-2,-3.880533904E-2,1.630332363E-1
2.167724708E0,6.294940609E-2,-3.317359328E-2,1.351338315E-1
2.177759708E0,6.217066661E-2,-1.326440871E-3,1.298730916E-1
2.187794708E0,1.142883981E-1,-4.890026450E-3,3.450558901E-2
2.197829708E0,1.074102452E-1,-7.381729692E-2,-2.107394993E-2
2.207863708E0,8.617721446E-2,-9.681205720E-2,-7.068172753E-2
2.217898708E0,4.061366357E-2,-8.241562754E-2,-7.226807714E-2
2.227933708E0,1.032519612E-2,-7.288963616E-2,-4.211574018E-2
2.237968708E0,-4.948780004E-2,-4.130005360E-2,-1.170197421E-1
2.248003708E0,-3.958374962E-2,-3.596797764E-2,-1.475492245E-1
2.258037708E0,-3.070884570E-4,-5.625430763E-2,-1.753410405E-1
2.268072708E0,5.180413797E-3,-9.840746999E-2,-8.230599225E-2
2.278107708E0,-1.785926040E-2,-8.188937813E-2,3.615508854E-2
2.288142583E0,1.721000019E-2,-8.355378807E-3,1.169986922E-1
2.298176583E0,5.264580812E-2,1.303929090E-4,8.919459701E-2
2.308211583E0,-2.854099050E-3,-1.801585615E-2,5.615490496E-2
2.318246583E0,8.168779537E-3,8.627566695E-3,9.312568009E-2
2.328281583E0,3.960410524E-2,2.527342021E-2,1.074209529E-1
2.338316583E0,8.634952459E-2,-3.016549319E-2,4.165264070E-2
2.348350583E0,1.400525459E-1,-4.642864645E-2,-3.496634960E-3
2.358385583E0,1.071063727E-1,-5.715068579E-2,-4.058493912E-2
2.368420583E0,7.577560253E-2,-5.954395115E-2,-2.878174961E-2
2.378455583E0,4.756238502E-2,-7.142607808E-2,-5.588008583E-2
2.388490583E0,2.730817817E-2,-8.333217859E-2,-7.020810306E-2
2.398524583E0,1.453979608E-2,-7.865352899E-2,8.416482210E-3
2.408559583E0,-2.098127156E-2,-6.545490146E-2,5.321960270E-2
2.418594583E0,-5.065643918E-2,-7.985805541E-2,7.434559286E-2
2.428629583E0,-6.063632067E-2,-2.849377424E-2,4.965747893E-2
2.438664583E0,-1.061450905E-1,-6.205649972E-3,2.911971867E-2
2.448698583E0,-7.909799047E-2,2.360725611E-2,3.283796310E-3
2.458733583E0,-4.173556153E-2,-2.998276770E-2,-1.244252408E-1
2.468768583E0,1.620131895E-2,-3.563760996E-2,-2.057079703E-1
2.478803583E0,-2.270620018E-3,-6.390480459E-2,-1.992017734E-1
2.488837583E0,6.265251372E-2,-8.960039377E-2,-1.068029022E-1
2.498872583E0,7.101205867E-2,-8.226506174E-2,-5.480536759E-2
2.508907583E0,4.372507665E-2,-8.096347153E-2,3.812384605E-2
2.518942583E0,6.538473487E-2,-5.795321614E-2,1.499506760E-1
2.528977583E0,1.346333098E-1,-8.731150120E-2,2.093811911E-1
2.539011583E0,5.572959311E-2,-7.818165869E-2,2.084631783E-1
2.549046583E0,1.628924645E-3,1.085360169E-2,1.278388453E-1
2.559081583E0,-7.030706719E-2,4.212246448E-2,-8.152188063E-3
2.569116583E0,-7.255159400E-2,5.820961654E-2,-8.124998510E-2
2.579151583E0,-2.280381214E-2,3.978211641E-2,-9.233864486E-2
2.589185583E0,2.165724624E-2,-2.139671624E-2,-3.512013137E-2
2.599220583E0,2.967399817E-2,-3.554873228E-2,3.125336766E-3
2.609255583E0,5.374640029E-2,7.646696270E-3,-4.769164503E-2
2.619290583E0,1.943797208E-3,-5.457791090E-3,-9.609840453E-2
2.629324583E0,-6.290584434E-2,-4.586263597E-3,-2.420560169E-1
2.639359583E0,-6.813742127E-2,-5.240537792E-2,-2.175731403E-1
2.649394583E0,-8.992688768E-3,-1.278768522E-1,-5.012642562E-2
2.659429583E0,-5.133270621E-3,-1.220857698E-1,-1.154415786E-2
2.669464583E0,-3.371281620E-2,-1.419739044E-1,5.811313748E-2
2.679498583E0,-3.424107559E-2,-6.153229684E-2,2.888454366E-1
2.689533583E0,-2.638029814E-2,3.482046157E-2,2.554303533E-1
2.699568583E0,4.891440745E-2,1.128775746E-2,2.275894207E-1
2.709603583E0,1.879556774E-1,-4.726421356E-2,1.713462228E-1
2.719638583E0,2.089214903E-1,-6.969003975E-3,6.126537144E-2
2.729672583E0,2.050085702E-1,3.950261950E-2,2.970151663E-2
2.739707583E0,1.127864311E-1,1.451167828E-1,-3.038739502E-2
2.749742583E0,1.731735873E-1,2.486139616E-1,-1.054954648E-1
2.759777583E0,1.631282170E-1,1.657092145E-1,-5.664080858E-2
2.769811583E0,2.257890630E-1,1.390067348E-1,2.685743093E-2
2.779846583E0,3.002129720E-1,1.423525116E-1,1.644698972E-1
2.789881583E0,2.152088186E-1,1.008282173E-1,2.164341027E-1
2.799916583E0,1.876037115E-1,1.047370809E-1,2.545485932E-1
2.809951583E0,1.076260440E-1,1.310820034E-1,2.067826885E-1
2.819985583E0,1.547162298E-2,6.886148930E-2,2.196798921E-1
2.830020583E0,-2.238716148E-3,8.919547409E-2,1.524597162E-1
2.840055583E0,-3.928561471E-3,8.904958606E-2,3.303033650E-2
2.850090583E0,3.026230115E-2,2.051320195E-2,-1.477152854E-1
2.860125583E0,7.362729896E-2,-3.839427978E-2,-2.716593003E-1
2.870159583E0,1.278308419E-1,-1.256975949E-1,-3.446904391E-1
2.880194583E0,1.596925027E-1,-1.807742733E-1,-2.650981396E-1
2.890229583E0,1.222345814E-1,-1.912308490E-1,-1.963050628E-1
2.900264583E0,4.372642882E-2,-1.815300259E-1,-1.208771503E-1
2.910298583E0,-7.149675630E-2,-1.520828632E-1,-3.150713682E-2
2.920333583E0,-1.312943670E-1,-7.758758157E-2,2.971671939E-2
2.930368583E0,-2.031279594E-1,-4.526241928E-2,1.260191917E-2
2.940403583E0,-2.260970285E-1,1.812636852E-3,-1.943906844E-2
2.950438583E0,-2.056292156E-1,3.531689018E-2,-1.323014402E-1
2.960472583E0,-1.444783399E-1,2.123708725E-2,-2.160610503E-1
2.970507583E0,-7.484260619E-2,-1.532701403E-2,-1.365488577E-1
2.980542583E0,4.762264788E-3,-9.590603113E-3,-6.469183981E-2
2.990577583E0,5.185628783E-2,-2.023779809E-2,-5.332075953E-2
3.000611583E0,4.686813779E-2,-3.160420060E-3,-3.301045597E-2
3.010646583E0,-2.908478156E-3,-3.256022036E-3,-5.006327569E-2
3.020681583E0,-6.105099790E-2,1.918193713E-2,-3.384368420E-2
3.030716583E0,-9.794945028E-2,6.524250135E-2,5.314183474E-2
3.040751583E0,-9.815519918E-2,1.241542223E-1,1.186844444E-1
3.050785583E0,-1.155436856E-1,1.354832026E-1,7.949874401E-2
3.060820583E0,-1.250998998E-1,1.273171274E-1,1.178915620E-2
3.070855583E0,-1.156089186E-1,1.180678555E-1,-3.031547427E-2
3.080890583E0,-1.028022373E-1,1.266813889E-1,-3.619952738E-2
3.090924583E0,-6.066277932E-2,1.188496283E-1,3.042598665E-2
3.100959583E0,-2.849128917E-3,1.043412244E-1,8.210367858E-2
3.110994583E0,9.531875141E-3,1.064628866E-1,1.075414056E-1
3.121029583E0,3.226990610E-2,9.973259524E-2,3.904361308E-2
3.131064583E0,1.300881229E-2,1.097482909E-1,-1.031565785E-2
3.141098583E0,7.881717794E-3,1.682694179E-1,-6.099230647E-2
3.151133583E0,4.187885486E-3,1.652613178E-1,-7.473677158E-2
3.161168583E0,1.519472077E-2,1.305950765E-1,-2.829993904E-2
3.171203583E0,-4.704340808E-3,1.268040343E-1,-7.610911310E-2
3.181237583E0,-9.819594696E-3,1.127172147E-1,-5.321317077E-2
3.191272583E0,1.485072177E-2,1.665784031E-1,-1.755801916E-2
3.201307583E0,4.496326111E-3,2.001009290E-1,3.859396219E-2
3.211342583E0,3.828760464E-2,2.068503700E-1,9.022136807E-2
3.221377583E0,3.137440503E-2,2.155909342E-1,8.610200465E-2
3.231411583E0,6.540538285E-2,1.976095766E-1,7.762178779E-2
3.241446583E0,2.249635823E-2,2.195588547E-1,2.325905442E-2
3.251481583E0,-2.404272750E-2,2.627019507E-1,-9.814025223E-2
3.261516583E0,-5.104458466E-2,2.614990322E-1,-1.732594317E-1
3.271550583E0,-5.504926957E-2,2.389705874E-1,-2.731906861E-1
3.281585750E0,-3.092413288E-2,1.722491790E-1,-2.527008730E-1
3.291620750E0,-6.137676090E-3,1.195768757E-1,-1.852772141E-1
3.301655750E0,-2.132779218E-2,1.497644421E-1,-1.512125051E-1
3.311690750E0,-3.535687052E-2,1.095025617E-1,-2.179678273E-1
3.321724750E0,2.670639005E-2,2.291743085E-1,-1.709866190E-1
3.331759750E0,-5.216191448E-3,1.899529400E-1,-3.186954725E-1
3.341794750E0,-5.451929256E-2,2.325085370E-1,-2.081140995E-1
3.351829750E0,-1.373416305E-1,4.941635437E-1,-1.133623087E-1
3.361863750E0,1.053340451E-1,4.791117874E-1,-1.570375013E-1
3.371898750E0,2.400290431E-1,4.375544563E-1,-2.529242367E-1
3.381933750E0,1.184764297E-1,4.112191817E-1,-8.595991731E-3
3.391968750E0,-4.397069626E-2,-6.673909619E-2,1.455173171E-1
3.402002750E0,4.616047852E-1,1.858375235E-1,1.535157233E-1
3.412037750E0,5.267953194E-1,5.788563694E-1,-1.158918142E-3
3.422072750E0,4.340337016E-1,8.425055690E-1,-1.239539552E-1
3.432107750E0,2.628933008E-1,8.504308851E-1,-2.907153761E-1
3.442142750E0,1.497466081E-1,7.146151221E-1,-4.951433909E-1
3.452176750E0,3.529776978E-1,5.775081477E-1,-6.450244850E-1
3.462211750E0,5.532894921E-1,4.164661807E-1,-5.914353383E-1
3.472246750E0,4.718997585E-1,1.685357586E-1,-2.300318027E-1
3.482281750E0,4.650254794E-1,1.403112486E-2,2.520266891E-2
3.492315750E0,5.071784956E-1,-2.576122418E-2,3.654445463E-1
3.502350750E0,4.588747933E-1,2.859639287E-2,5.897145027E-1
3.512385750E0,4.308657532E-1,2.594303604E-1,6.426516849E-1
3.522420750E0,3.174052113E-1,3.851029585E-1,4.009704745E-1
3.532455750E0,1.289055967E-1,4.214924473E-1,1.151492178E-2
3.542489750E0,-2.867962068E-1,5.049752647E-1,-1.690517753E-1
3.552524750E0,-1.531431826E-1,7.156296140E-1,-2.671727318E-1
3.562559750E0,-1.067401908E-1,8.449371336E-1,-2.801734310E-1
3.572594750E0,-1.294252679E-1,8.256347439E-1,-3.260530239E-1
3.582628750E0,-1.795723050E-1,6.549672367E-1,-3.713683605E-1
3.592663750E0,-1.352076526E-1,6.820372139E-1,-4.580486548E-1
3.602698750E0,-5.446652144E-2,7.454104335E-1,-2.936132562E-1
3.612733750E0,1.770415570E-1,7.982751102E-1,1.752387142E-1
3.622767750E0,4.150529817E-1,7.942835084E-1,7.013355106E-1
3.632802750E0,3.933581306E-1,8.040611494E-1,9.047192127E-1
3.642837750E0,7.115312275E-1,9.518634852E-1,8.392877001E-1
3.652872750E0,7.222297318E-1,8.519216327E-1,1.021775208E0
3.662907750E0,6.823819073E-1,7.527338518E-1,9.383319318E-1
3.672941750E0,6.686374421E-1,7.830098574E-1,7.578874415E-1
3.682976750E0,8.278133433E-1,9.503623588E-1,9.075135970E-1
3.693011750E0,9.241983345E-1,1.057014110E0,8.637781781E-1
3.703046750E0,8.465558622E-1,8.788423598E-1,1.682349193E-1
3.713080750E0,8.482087970E-1,6.931956017E-1,-1.842153597E-1
3.723115750E0,8.088544775E-1,6.221437454E-1,1.931931746E-1
3.733150750E0,6.810350011E-1,6.278702892E-1,7.864393955E-1
3.743185750E0,4.312224699E-1,7.129369712E-1,9.310077095E-1
3.753219750E0,3.878480435E-1,9.954491423E-1,4.205855441E-1
3.763254750E0,6.250215988E-1,1.299368116E0,1.219846714E0
3.773289750E0,7.211349137E-1,1.389465962E0,8.851082361E-1
3.783324750E0,7.850028808E-1,1.394528920E0,-1.740236628E-1
3.793359750E0,1.242351185E0,1.334067394E0,-1.245420097E0
